Tipus d'error,Interferència del castellà,Masked,Resposta normativa,Resposta no normativa freqüent,Prediccions,Model,Normatives top 1,Normatives top 5,No normatives top 1,No normatives top 5,Altres
a_od,Sí,L’entrenador felicitarà <mask> jugadors després del partit.,els,als,"['els', 'als', 'les', 'a', 'el']",facebook/xlm-v-base,,,,,
a_od,Sí,L’empresa vol formar <mask> seus treballadors.,els,als,"['els', 'als', 'el', 'pels', 'dels']",facebook/xlm-v-base,,,,,
a_od,Sí,Estic esperant <mask> professor per resoldre un dubte.,el,al,"['al', 'el', 'un', 'algun', 'a']",facebook/xlm-v-base,,,,,
a_od,Sí,Han acomiadat <mask> empleats més antics de l’empresa.,el,al,"['els', 'als', 'dels', 'dos', 'alguns']",facebook/xlm-v-base,,,,,
a_od,Sí,Sempre ajuda <mask> seus companys quan ho necessiten.,els,als,"['els', 'als', 'a', 'al', 'dels']",facebook/xlm-v-base,,,,,
a_od,Sí,El professor ha avisat <mask> alumnes sobre el canvi d’horari.,els,als,"['els', 'als', 'les', 'dels', 'a']",facebook/xlm-v-base,,,,,
a_od,Sí,El jutge ha interrogat <mask> testimonis del cas.,els,als,"['els', 'diversos', 'tres', 'als', 'cinc']",facebook/xlm-v-base,,,,,
a_od,Sí,Han seleccionat <mask> millors candidats per al lloc de feina.,els,als,"['els', 'als', 'les', 'dels', '10']",facebook/xlm-v-base,,,,,
com_reg,Sí,Al restaurant fa molta olor <mask> fregit.,de,a,"['al', 'a', 'de', 'del', 'allo']",facebook/xlm-v-base,,,,,
com_reg,Sí,Tinc por <mask> les aranyes.,de,a,"['de', ',', 'a', 'és', 'in']",facebook/xlm-v-base,,,,,
com_reg,Sí,El meu horari és diferent <mask> teu.,del,al,"['del', 'al', 'dels', 'el', 'de']",facebook/xlm-v-base,,,,,
com_reg,Sí,La solució <mask> problema és molt senzilla.,del,al,"['al', 'del', 'pel', 'aquest', 'als']",facebook/xlm-v-base,,,,,
com_reg,Sí,La noia va aprofitar per treure profit <mask> la situació i va guanyar molts diners.,de,a,"['de', 'amb', 'a', 'd', 'del']",facebook/xlm-v-base,,,,,
com_reg,Sí,Va fer cas <mask> les recomanacions del metge.,de,a,"['de', 'a', 'amb', 'per', 'en']",facebook/xlm-v-base,,,,,
com_reg,Sí,Sento una forta pudor <mask> cremat a la cuina.,de,a,"['de', 'del', 'al', 'a', ',']",facebook/xlm-v-base,,,,,
com_reg,Sí,L’article fa esment <mask> diverses investigacions recents.,de,a,"['de', 'a', 'sobre', 'en', 'amb']",facebook/xlm-v-base,,,,,
com_reg,Sí,Va mostrar un clar rebuig <mask> la proposta.,de,a,"['a', 'de', 'per', 'envers', 'davant']",facebook/xlm-v-base,,,,,
com_reg,Sí,Hauries de fer un bon repàs <mask> la matèria abans de l’examen.,de,a,"['de', 'a', 'per', 'sobre', 'en']",facebook/xlm-v-base,,,,,
alt_prep,Sí,Tenim molt d'interès <mask> complir els nostres compromisos.,a,en,"['per', 'en', 'a', 'de', 'pel']",facebook/xlm-v-base,,,,,
alt_prep,Sí,La idea consisteix <mask> analitzar els models.,a,en,"['en', 'a', 'per', 'que', 'i']",facebook/xlm-v-base,,,,,
alt_prep,Sí,La majoria d'estudiants es van mostrar d'acord <mask> fer una pausa.,a,en,"['per', 'en', 'a', 'i', 'al']",facebook/xlm-v-base,,,,,
alt_prep,Sí,La van amenaçar <mask> despatxar-la.,de,amb,"['de', ',', 'i', 'per', 'a']",facebook/xlm-v-base,,,,,
alt_prep,Sí,Insisteixen <mask> tornar cap a casa.,a,en,"['en', 'de', 'a', 'per', ',']",facebook/xlm-v-base,,,,,
alt_prep,Sí,Va mostrar interès <mask> aprendre nous mètodes per fer aquests exercicis.,a,en,"['en', 'per', 'a', 'i', ',']",facebook/xlm-v-base,,,,,
alt_prep,Sí,L'exercici es basa <mask> explicar les circumstàncies del conflicte.,a,en,"['en', 'per', 'a', 'sobre', 'rà']",facebook/xlm-v-base,,,,,
alt_prep,Sí,Ens complaem <mask> acceptar la vostra col·laboració.,a,en,"['per', 'a', 'en', 'de', 'amb']",facebook/xlm-v-base,,,,,
alt_prep,Sí,"Engrescat <mask> fundar la coral, tot el temps que hi dedica li sembla poc.",a,en,"['a', 'per', 'de', 'en', 'i']",facebook/xlm-v-base,,,,,
alt_prep,Sí,"Estava tan capficat <mask> completar la jugada, que no es va adonar que el temps s'havia acabat. ",a,en,"['en', 'per', 'a', 'de', 'al']",facebook/xlm-v-base,,,,,
